HOST,ID,NAME
engadget.com,IAB19,Technology & Computing
eonline.com,IAB1,Arts & Entertainment
eonline.comuk,IAB1,Arts & Entertainment
es.j-14.com,IAB1,Arts & Entertainment
espn.co.uk,IAB17,Sports
espn.com,IAB1,Arts & Entertainment
espn.comespnw,IAB17,Sports
espn.go.com,IAB17,Sports
espncricinfo.com,IAB17,Sports
espnfc.us,IAB17,Sports
esquire.com,IAB18,Style & Fashion
essence.com,IAB18,Style & Fashion
etonline.com,IAB1,Arts & Entertainment
etonline.com,IAB18,Style & Fashion
eurosport.co.uk,IAB1,Arts & Entertainment
ew.com,IAB1,Arts & Entertainment
express.co.uk,IAB1,Arts & Entertainment
extratv.com,IAB1,Arts & Entertainment
extremetech.com,IAB19,Technology & Computing
familycircle.com,IAB6,Family & Parenting
familyhandyman.com,IAB6,Family & Parenting
fanpop.com,IAB1,Arts & Entertainment
fansided.com,IAB17,Sports
fhm.com,IAB1,Arts & Entertainment
fieldandstream.com,IAB20,Travel
fightland.vice.com,IAB17,Sports
firstforwomen.com,IAB6,Family & Parenting
firstwefeast.com,IAB1,Arts & Entertainment
firstwefeast.com,IAB8,Food & Drink
fitnessmagazine.com,IAB7,Health & Fitness
fitpregnancy.com,IAB6,Family & Parenting
fivethirtyeight.com,IAB17,Sports
flexonline.com,IAB7,Health & Fitness
flipboard.com,IAB1,Arts & Entertainment
flyingmag.com,IAB20,Travel
fodors.com,IAB20,Travel
food.com,IAB8,Food & Drink
food52.com,IAB8,Food & Drink
foodandwine.com,IAB1,Arts & Entertainment
foodnetwork.com,IAB8,Food & Drink
forbes.com,IAB12,News
fortune.com,IAB12,News
fox29.com,IAB12,News
fox4news.com,IAB12,News
fox5atlanta.com,IAB12,News
foxbusiness.com,IAB12,News
foxdeportes.com,IAB17,Sports
foxnews.com,IAB12,News
foxsports.com,IAB17,Sports
fusion.net,IAB1,Arts & Entertainment
gamefaqs.com,IAB19,Technology & Computing
